Mode	Input	Output	Type	Authorization	Note	Example
On Phone (Instrumentation/UI Automator)		UiAutomator actions (UiDevice.click/drag/swipe)	Semi-Structured	Instrumented test runner; adb or test harness	High-level input primitives; designed for UI testing across apps.	Swipe to scroll list
On Phone (Instrumentation/UI Automator)		UiAutomation.injectInputEvent(InputEvent, sync)	Semi-Structured	Instrumented test runner; shell-level automation context	Low-level event injection across app boundaries (unlike Instrumentation.sendPointerSync).	Inject raw MotionEvent/KeyEvent in tests
On Phone (Instrumentation/UI Automator)		UiAutomation.executeShellCommand(...)	Mixed	Instrumented test runner; uses shell identity (permissions vary by device/build)	Run shell commands similar to “adb shell ...”; useful for glue (am/pm/input/screencap).	Execute “cmd input tap …” from a test
Desktop-connected Device (ADB)	adb shell screencap		Visual	Developer options + USB/Wireless debugging; device policy may restrict	Captures display to file/stdout; convenient for remote agent vision.	screencap -p /sdcard/s.png; adb pull
Desktop-connected Device (ADB)	adb shell screenrecord		Visual	Developer options + debugging	Records display to .mp4; default time limit; good for debugging and dataset capture.	screenrecord /sdcard/demo.mp4
Desktop-connected Device (ADB)	adb shell dumpsys / logcat / settings / wm		Structured	Developer options + debugging	System introspection (activity, window, permissions, etc.); highly device/version dependent.	dumpsys window; dumpsys activity; logcat
Desktop-connected Device (ADB)		adb shell cmd input (tap/swipe/text/keyevent)	Semi-Structured	Developer options + debugging	Shell-driven input simulation using platform input service; best for automation tooling.	cmd input tap 300 400; cmd input text "hello"
Desktop-connected Device (ADB)		adb shell am start / am broadcast / pm	Structured	Developer options + debugging	Start activities, send broadcasts, install/uninstall; often used to set up flows.	am start -a android.intent.action.VIEW …
On Phone (System/Privileged)	SurfaceFlinger/private screenshot or virtual display capture (non-SDK/private APIs)	Visual	System/privileged app or ROM integration; not for Play apps	Higher FPS / lower latency possible; relies on private APIs and may break across versions.	High-FPS streaming like STF/minicap style	
On Phone (Rooted)	Read kernel input events (getevent on /dev/input/event*)	Semi-Structured	Root or elevated SELinux context	Observes raw Linux input events; useful for debugging or building replayers.	getevent -lt	
On Phone (Rooted)	Read framebuffer/graphics buffers (/dev/graphics, etc.)	Visual	Root; device-specific; often blocked by SELinux/graphics stack changes	Legacy/implementation-dependent; modern Android uses SurfaceFlinger/GraphicBuffer; not a stable public interface.	Direct framebuffer grab (legacy devices)	
On Phone (System/Privileged)		INJECT_EVENTS / privileged event injection	Semi-Structured	Platform signature (signature-level permission) or OEM/ROM control	Inject user events to any window; not available to third-party apps.	System app injecting input for automation
On Phone (Rooted)		uinput virtual device injection (frameworks/base/cmds/uinput)	Semi-Structured	Root or privileged context to create /dev/uinput devices	Creates a virtual input device and injects Linux input events; low-level and powerful.	Inject key presses via uinput JSON commands
On Phone (Rooted)		sendevent / write to /dev/input/event*	Semi-Structured	Root; hardware-specific event codes	Directly inject Linux input events; fragile across devices and input drivers.	Replay touch events from recorded getevent logs
Emulator	Emulator screenshot/stream (host side)	Visual	Emulator control; host has full access	Often easiest environment; can snapshot, run deterministic tests.	Record emulator screen for dataset	
Emulator		Emulator input injection (host or adb cmd input)	Semi-Structured	Emulator control; adb optional	Fast iteration; same APIs as device plus emulator-only controls.	Automate UI flows in emulator
